"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create new course","tests.courses","Fri Jan 16 07:39:13 UTC 2026","passed","Fri Jan 16 07:39:13 UTC 2026","TestCourses","test_courses","",""
"","23","Delete file","tests.files","Fri Jan 16 07:39:19 UTC 2026","passed","Fri Jan 16 07:39:19 UTC 2026","TestFiles","test_files","",""
"","289","Create user","tests.users","Fri Jan 16 07:39:20 UTC 2026","passed","Fri Jan 16 07:39:20 UTC 2026","TestUsers","test_users","",""
"","298","Get list of courses","tests.courses","Fri Jan 16 07:39:12 UTC 2026","passed","Fri Jan 16 07:39:12 UTC 2026","TestCourses","test_courses","",""
"","555","Login with correct email and password","tests.authentication","Fri Jan 16 07:39:11 UTC 2026","passed","Fri Jan 16 07:39:12 UTC 2026","TestAuthentication","test_authentication","",""
"","13","Get list of exercises","tests.exercises","Fri Jan 16 07:39:17 UTC 2026","passed","Fri Jan 16 07:39:17 UTC 2026","TestExercises","test_exercises","",""
"","292","Update exercise","tests.exercises","Fri Jan 16 07:39:15 UTC 2026","passed","Fri Jan 16 07:39:15 UTC 2026","TestExercises","test_exercises","",""
"","289","Delete exercise","tests.exercises","Fri Jan 16 07:39:16 UTC 2026","passed","Fri Jan 16 07:39:16 UTC 2026","TestExercises","test_exercises","",""
"","14","Get exercise by id","tests.exercises","Fri Jan 16 07:39:15 UTC 2026","passed","Fri Jan 16 07:39:15 UTC 2026","TestExercises","test_exercises","",""
"","302","Update course","tests.courses","Fri Jan 16 07:39:13 UTC 2026","passed","Fri Jan 16 07:39:14 UTC 2026","TestCourses","test_courses","",""
"","526","Create user","tests.users","Fri Jan 16 07:39:20 UTC 2026","passed","Fri Jan 16 07:39:21 UTC 2026","TestUsers","test_users","",""
"","12","Get user me","tests.users","Fri Jan 16 07:39:21 UTC 2026","passed","Fri Jan 16 07:39:21 UTC 2026","TestUsers","test_users","",""
"","281","Get file","tests.files","Fri Jan 16 07:39:17 UTC 2026","passed","Fri Jan 16 07:39:18 UTC 2026","TestFiles","test_files","",""
"","567","Create file","tests.files","Fri Jan 16 07:39:17 UTC 2026","passed","Fri Jan 16 07:39:17 UTC 2026","TestFiles","test_files","",""
"","15","Create file with empty filename","tests.files","Fri Jan 16 07:39:19 UTC 2026","passed","Fri Jan 16 07:39:19 UTC 2026","TestFiles","test_files","",""
"","265","Create file with empty directory","tests.files","Fri Jan 16 07:39:19 UTC 2026","passed","Fri Jan 16 07:39:20 UTC 2026","TestFiles","test_files","",""
"","530","Create user","tests.users","Fri Jan 16 07:39:20 UTC 2026","passed","Fri Jan 16 07:39:20 UTC 2026","TestUsers","test_users","",""
"","14","Create file with incorrect file id","tests.files","Fri Jan 16 07:39:20 UTC 2026","passed","Fri Jan 16 07:39:20 UTC 2026","TestFiles","test_files","",""
"","291","Create new exercise","tests.exercises","Fri Jan 16 07:39:14 UTC 2026","passed","Fri Jan 16 07:39:14 UTC 2026","TestExercises","test_exercises","",""
